Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VDE-VGT,0.03868318552371161,0.11348087207178373,-0.0997244228889051,0.5574251400265858,-0.14710868010258993,0.0667701623081407,VDE,VGT,ewma,5
VNQ-VGT,0.038269848487057126,0.11169562907178089,-0.10501889474479287,0.5331484625875385,-0.21066229486714827,0.0662849749046388,VNQ,VGT,adaptive,20
VCR-VOX,0.043353851225999926,0.06043266539673217,-0.10997609869379385,1.2454636176446177,-0.039442958546957785,0.08678413678754371,VCR,VOX,ewma,20
VNQ-VOX,0.04109705236573546,0.07885844039829144,-0.11289784060270872,0.8468951227004692,-0.1226318695701144,0.0791032508179732,VNQ,VOX,ewma,20
VGT-VHT,0.037007794636329375,0.11088466189230736,-0.11716864300212011,0.6233879501969766,-0.10958671467451786,0.06387095915658603,VGT,VHT,standard,15
VCR-VDC,0.03863613556002462,0.09562566093583658,-0.1188369766939474,0.7451448590849162,-0.09092771445548042,0.07069092786551878,VCR,VDC,adaptive,5
VCR-VHT,0.039302580206405965,0.08662673071696303,-0.12348867035679598,0.7522622390227124,-0.10692529837515008,0.07385718975665334,VCR,VHT,ewma,15
VDE-VFH,0.038170671118492115,0.08955474537174277,-0.13209047529981952,0.6958059187752784,-0.16342676012623114,0.07086214040318617,VDE,VFH,adaptive,5
VDE-VAW,0.03666634214665185,0.09227197184376146,-0.1445038789885746,0.7191726126778676,-0.09490747886929063,0.06713041426525024,VDE,VAW,standard,5
VDE-VDC,0.03266391073079506,0.10829110409998915,-0.1600878429792147,0.5841953136951274,-0.11568459988233704,0.055253221753968296,VDE,VDC,standard,5
VDE-VPU,0.03352877455496959,0.09736801929112884,-0.16916463500999906,0.5371228933044442,-0.17348552633790915,0.05938319650946311,VDE,VPU,ewma,20
VNQ-VOX,0.036276745537486894,0.08041534405753582,-0.17065467571331044,0.7464615415236592,-0.10823856499253581,0.06846670206961769,VNQ,VOX,standard,20
VDE-VIS,0.03465793924653145,0.08902300742088179,-0.172338153899188,0.6929689797304548,-0.10414378249598555,0.06346488461455113,VDE,VIS,standard,5
VHT-VPU,0.03673532058322528,0.07591229158703454,-0.17473691202651312,0.7758525938295049,-0.06768794106272491,0.07020029749435697,VHT,VPU,standard,15
VGT-VPU,0.029758775230308517,0.1151012208796488,-0.17585586508118686,0.42957764124629605,-0.10698848726798416,0.04747240453986423,VGT,VPU,ewma,10
VHT-VDC,0.0394487549771549,0.0597124302572224,-0.17670098130981485,1.1523801121262074,-0.078810856602746,0.07840719560577192,VHT,VDC,adaptive,10
VCR-VPU,0.031238330560645303,0.10227708813129135,-0.1834396127436731,0.49672284453606985,-0.11989413340606303,0.05352126752341069,VCR,VPU,ewma,15
VAW-VPU,0.03407713698871014,0.08363129617475076,-0.19039359354204413,0.6881514441938906,-0.1451331695236524,0.06321029655016219,VAW,VPU,standard,5
VFH-VCR,0.036875773787079257,0.06647071904962822,-0.19744372259794482,0.9238854625126992,-0.07188098300083412,0.07194493876990227,VFH,VCR,ewma,20
VCR-VNQ,0.03317956210795564,0.08512652556135251,-0.19759337975002234,0.6760015810311854,-0.10713188853419409,0.06104239842071868,VCR,VNQ,ewma,15
VGT-VDE,0.025901245790830685,0.12069052791072521,-0.19967394812453776,0.37455796996318086,-0.16448718859284828,0.03806715115518777,VGT,VDE,standard,10
VHT-VNQ,0.037249920985699486,0.062140156733374,-0.20518260146989165,1.0165614057160586,-0.07757389558119054,0.07334806075494194,VHT,VNQ,standard,10
VGT-VDC,0.023790307752791326,0.12256492224759206,-0.21384333924075494,0.31456049669801495,-0.15099855546177465,0.03318735084966029,VGT,VDC,adaptive,10
